No,Nama,NIM,Email
1,Jojoba,101021,jjjjjj@gmail.com
2,Andi Saputra,2301001,andi.saputra@email.com
3,Budi Santoso,2301002,budi.santoso@email.com
4,Citra Lestari,2301003,citra.lestari@email.com
5,Dewi Anggraini,2301004,dewi.anggraini@email.com
6,Eko Prasetyo,2301005,eko.prasetyo@email.com
7,Farah Maulida,2301006,farah.maulida@email.com
8,Gilang Ramadhan,2301007,gilang.ramadhan@email.com
9,Hani Salsabila,2301008,hani.salsabila@email.com
10,Indra Kusuma,2301009,indra.kusuma@email.com
11,Joko Widodo,2301010,joko.widodo@email.com
12,Phryel,10124449,phryels@gmail.com
13,Jonathan,10000000,jj@gmail.com
14,phryel,10124449,phryels@gmail.com
